CTF ids,CTF URLs,Rating,Tags,Task Id,Task Name,Competition,Title
10125,https://devcraft.io/2018/05/22/retter-rctf-2018.html,,,6133,retter, RCTF 2018 ,CTFtime.org / RCTF 2018 / retter / Writeup
3910,http://vulnerablespace.blogspot.co.uk/2016/08/ctf-writeup-icectf-2016-strong-feeling.html,,reversing,2670,A Strong Feeling, IceCTF 2016 ,CTFtime.org / IceCTF 2016 / A Strong Feeling / Writeup
5000,https://0xd13a.github.io/ctfs/seccon2016/vigenere,5,,3167,Vigenere, SECCON 2016 Online CTF ,CTFtime.org / SECCON 2016 Online CTF / Vigenere / Writeup
7732,https://github.com/soolidsnake/Write-ups/tree/master/Kaspersky_CTF/BackdoorPi,,,4726,Backdoor Pi , Kaspersky Industrial CTF Quals 2017 ,CTFtime.org / Kaspersky Industrial CTF Quals 2017 / Backdoor Pi  / Writeup
5341,https://github.com/ChalmersCTF/Writeups/tree/master/Insomnihack_teaser_2017/cryptoquiz,5,crypto,3306,cryptoquizz, Insomni&#39;hack teaser 2017 ,CTFtime.org / Insomni&#39;hack teaser 2017 / cryptoquizz / Writeup
1498,https://github.com/smokeleeteveryday/CTF_WRITEUPS/tree/master/2015/POLICTF/reversing/reversemeplz,,,1540,reversemeplz, PoliCTF 2015 ,CTFtime.org / PoliCTF 2015 / reversemeplz / Writeup
1062,http://blog.dragonsector.pl/2014/04/plaidctf-2014-gcc-300-and-freya-250.html#7420367738707019539,,,1067,gcc, PlaidCTF 2014 ,CTFtime.org / PlaidCTF 2014 / gcc / Writeup
6419,https://github.com/ymgve/ctf-writeups/tree/master/bctf2017/pwn-monkey,,exploitation,3963,monkey(Pwn), BCTF 2017 ,CTFtime.org / BCTF 2017 / monkey(Pwn) / Writeup
3861,https://github.com/grocid/CTF/tree/master/IceCTF/2016#toke-45-p,3,,2699,Toke, IceCTF 2016 ,CTFtime.org / IceCTF 2016 / Toke / Writeup
11973,https://xnand.github.io/2018/10/28/picoCTF2018-ropchain.html,,rop,6770,ROP, picoCTF 2018 ,CTFtime.org / picoCTF 2018 / ROP / Writeup
818,http://ardsec.blogspot.com/2013/10/sharif-university-ctf-2013.html,,,808,Reversing 100, Sharif University CTF 2013 ,CTFtime.org / Sharif University CTF 2013 / Reversing 100 / Writeup
3536,https://codisec.com/tuctf16-the-nack/,,misc,2386,The Nack, TU CTF 2016 ,CTFtime.org / TU CTF 2016 / The Nack / Writeup
1735,http://fadec0d3.blogspot.com/2015/09/csaw-2015-recon-trivia.html,,,1654,Julian Cohen, CSAW CTF Qualification Round 2015 ,CTFtime.org / CSAW CTF Qualification Round 2015 / Julian Cohen / Writeup
7519,https://github.com/p4-team/ctf/tree/master/2017-09-17-ekoparty/warmup_re,5,re,4648,WarmUp, EKOPARTY CTF 2017 ,CTFtime.org / EKOPARTY CTF 2017 / WarmUp / Writeup
6578,https://github.com/WizardsOfDos/Writeups/tree/master/2017-PlaidCTF/terebeep,,,4004,terebeep, PlaidCTF 2017 ,CTFtime.org / PlaidCTF 2017 / terebeep / Writeup
1026,,,series,1010,Joy 100, VolgaCTF 2014 Quals ,CTFtime.org / VolgaCTF 2014 Quals / Joy 100 / Writeup
10119,https://devcraft.io/2018/05/21/nop-def-con-ctf-qualifier-2018.html,,,6096,note oriented programming, DEF CON CTF Qualifier 2018 ,CTFtime.org / DEF CON CTF Qualifier 2018 / note oriented programming / Writeup
12039,https://github.com/VoidHack/write-ups/tree/master/P.W.N.%20CTF/pwn/echochamber,,pwn,6961,Echo Chamber, P.W.N. CTF ,CTFtime.org / P.W.N. CTF / Echo Chamber / Writeup
8435,https://kanglib.pe.kr/hacking/2017/12/21/seccon-2017-quals-jpeg-file.html,,binary,5046,JPEG file, SECCON 2017 Online CTF ,CTFtime.org / SECCON 2017 Online CTF / JPEG file / Writeup
